simulation_day,clients_statistics_total_clients_served,clients_statistics_total_clients_not_served,clients_statistics_total_clients_with_ticket,clients_statistics_total_clients_without_ticket,income_statistics_current_daily_income,income_statistics_accumulated_total_income,total_served_plates_first_course_count,total_served_plates_second_course_count,total_served_plates_coffee_dessert_count,total_served_plates_total_plates_count,total_leftover_plates_first_course_count,total_leftover_plates_second_course_count,total_leftover_plates_coffee_dessert_count,daily_average_wait_times_average_wait_first_course,daily_average_wait_times_average_wait_second_course,daily_average_wait_times_average_wait_cash_desk,daily_average_wait_times_average_wait_coffee_dessert,total_average_wait_times_average_wait_first_course,total_average_wait_times_average_wait_second_course,total_average_wait_times_average_wait_cash_desk,total_average_wait_times_average_wait_coffee_dessert,operators_statistics_daily_active_operators,operators_statistics_total_breaks_taken
1,20,0,16,4,156.00,156.00,20,20,0,40,0,0,0,5.08,5.11,5.11,0.00,0.00,0.00,0.00,0.00,12,0
2,20,0,16,4,156.00,312.00,20,20,0,80,0,0,0,5.10,5.11,5.10,0.00,0.00,0.00,0.00,0.00,12,0
